,Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel,FinalPrice
345,RPG 3,USA,Retail,Standard,PC,2009,11,24,NonCasual,4723,59.99
346,RPG 3,USA,Retail,Standard,PC,2009,11,25,NonCasual,4488,59.99
347,RPG 3,USA,Retail,Standard,PC,2009,11,26,NonCasual,4362,59.99
348,RPG 3,USA,Retail,Standard,PC,2009,11,27,NonCasual,4261,59.99
349,RPG 3,USA,Retail,Standard,PC,2009,11,28,NonCasual,4071,59.99
350,RPG 3,USA,Retail,Standard,PC,2009,11,29,NonCasual,4014,59.99
351,RPG 3,USA,Retail,Standard,PC,2009,11,30,NonCasual,3890,59.99
352,RPG 3,USA,Retail,Standard,PC,2009,11,31,NonCasual,3755,59.99
353,RPG 3,USA,Retail,Standard,PC,2009,11,32,NonCasual,3598,59.99
354,RPG 3,USA,Retail,Standard,PC,2009,11,33,NonCasual,3407,59.99
355,RPG 3,USA,Retail,Standard,PC,2009,11,34,NonCasual,3175,59.99
356,RPG 3,USA,Retail,Standard,PC,2009,11,35,NonCasual,2928,59.99
357,RPG 3,USA,Retail,Standard,PC,2009,11,36,NonCasual,2575,59.99
358,RPG 3,USA,Retail,Standard,PC,2009,11,37,NonCasual,1870,59.99
359,RPG 3,USA,Retail,Standard,PC,2009,11,38,NonCasual,22,59.99
360,RPG 3,USA,Retail,Standard,PC,2009,11,39,NonCasual,4,59.99
361,RPG 3,USA,Retail,Standard,PC,2009,11,40,NonCasual,2,59.99
687,RPG 4,USA,Digital,Standard,PS,2010,11,0,NonCasual,422,59.99
688,RPG 4,USA,Digital,Standard,PS,2010,11,1,NonCasual,422,59.99
689,RPG 4,USA,Digital,Standard,PS,2010,11,2,NonCasual,360,59.99
690,RPG 4,USA,Digital,Standard,PS,2010,11,3,NonCasual,194,59.99
700,RPG 4,USA,Digital,Standard,PC,2010,11,0,NonCasual,4907,59.99
701,RPG 4,USA,Digital,Standard,PC,2010,11,1,NonCasual,4907,59.99
702,RPG 4,USA,Digital,Standard,PC,2010,11,2,NonCasual,2930,59.99
703,RPG 4,USA,Digital,Standard,PC,2010,11,3,NonCasual,2039,59.99
704,RPG 4,USA,Digital,Standard,PC,2010,11,4,NonCasual,1187,59.99
705,RPG 4,USA,Digital,Standard,PC,2010,11,5,NonCasual,791,59.99
706,RPG 4,USA,Digital,Standard,PC,2010,11,6,NonCasual,476,59.99
707,RPG 4,USA,Digital,Standard,PC,2010,11,7,NonCasual,128,59.99
796,RPG 4,USA,Retail,Standard,PS,2010,11,0,NonCasual,120538,59.99
797,RPG 4,USA,Retail,Standard,PS,2010,11,1,NonCasual,111339,59.99
798,RPG 4,USA,Retail,Standard,PS,2010,11,2,NonCasual,100582,59.99
799,RPG 4,USA,Retail,Standard,PS,2010,11,3,NonCasual,92184,59.99
800,RPG 4,USA,Retail,Standard,PS,2010,11,4,NonCasual,82543,59.99
801,RPG 4,USA,Retail,Standard,PS,2010,11,5,NonCasual,74390,59.99
802,RPG 4,USA,Retail,Standard,PS,2010,11,6,NonCasual,70607,59.99
803,RPG 4,USA,Retail,Standard,PS,2010,11,7,NonCasual,67735,59.99
804,RPG 4,USA,Retail,Standard,PS,2010,11,8,NonCasual,65523,59.99
805,RPG 4,USA,Retail,Standard,PS,2010,11,9,NonCasual,62106,59.99
806,RPG 4,USA,Retail,Standard,PS,2010,11,10,NonCasual,59176,59.99
807,RPG 4,USA,Retail,Standard,PS,2010,11,11,NonCasual,56553,59.99
808,RPG 4,USA,Retail,Standard,PS,2010,11,12,NonCasual,53935,59.99
809,RPG 4,USA,Retail,Standard,PS,2010,11,13,NonCasual,50871,59.99
810,RPG 4,USA,Retail,Standard,PS,2010,11,14,NonCasual,49148,59.99
811,RPG 4,USA,Retail,Standard,PS,2010,11,15,NonCasual,46224,59.99
812,RPG 4,USA,Retail,Standard,PS,2010,11,16,NonCasual,42797,59.99
813,RPG 4,USA,Retail,Standard,PS,2010,11,17,NonCasual,40140,59.99
814,RPG 4,USA,Retail,Standard,PS,2010,11,18,NonCasual,39386,59.99
815,RPG 4,USA,Retail,Standard,PS,2010,11,19,NonCasual,37235,59.99
816,RPG 4,USA,Retail,Standard,PS,2010,11,20,NonCasual,33490,59.99
817,RPG 4,USA,Retail,Standard,PS,2010,11,21,NonCasual,28535,59.99
818,RPG 4,USA,Retail,Standard,PS,2010,11,22,NonCasual,21176,59.99
819,RPG 4,USA,Retail,Standard,PS,2010,11,23,NonCasual,468,59.99
820,RPG 4,USA,Retail,Standard,PS,2010,11,24,NonCasual,465,59.99
821,RPG 4,USA,Retail,Standard,PS,2010,11,25,NonCasual,455,59.99
822,RPG 4,USA,Retail,Standard,PS,2010,11,26,NonCasual,443,59.99
823,RPG 4,USA,Retail,Standard,PS,2010,11,27,NonCasual,422,59.99
824,RPG 4,USA,Retail,Standard,PS,2010,11,28,NonCasual,416,59.99
825,RPG 4,USA,Retail,Standard,PS,2010,11,29,NonCasual,408,59.99
826,RPG 4,USA,Retail,Standard,PS,2010,11,30,NonCasual,408,59.99
827,RPG 4,USA,Retail,Standard,PS,2010,11,31,NonCasual,403,59.99
828,RPG 4,USA,Retail,Standard,PS,2010,11,32,NonCasual,403,59.99
829,RPG 4,USA,Retail,Standard,PS,2010,11,33,NonCasual,392,59.99
830,RPG 4,USA,Retail,Standard,PS,2010,11,34,NonCasual,348,59.99
831,RPG 4,USA,Retail,Standard,PS,2010,11,35,NonCasual,263,59.99
832,RPG 4,USA,Retail,Standard,PS,2010,11,36,NonCasual,199,59.99
860,RPG 4,USA,Retail,Standard,Nintendo,2010,10,0,NonCasual,6447,59.99
861,RPG 4,USA,Retail,Standard,Nintendo,2010,10,1,NonCasual,6239,59.99
862,RPG 4,USA,Retail,Standard,Nintendo,2010,10,2,NonCasual,5766,59.99
863,RPG 4,USA,Retail,Standard,Nintendo,2010,10,3,NonCasual,5446,59.99
864,RPG 4,USA,Retail,Standard,Nintendo,2010,10,4,NonCasual,5185,59.99
865,RPG 4,USA,Retail,Standard,Nintendo,2010,10,5,NonCasual,4940,59.99
866,RPG 4,USA,Retail,Standard,Nintendo,2010,10,6,NonCasual,4810,59.99
867,RPG 4,USA,Retail,Standard,Nintendo,2010,10,7,NonCasual,4687,59.99
868,RPG 4,USA,Retail,Standard,Nintendo,2010,10,8,NonCasual,4598,59.99
869,RPG 4,USA,Retail,Standard,Nintendo,2010,10,9,NonCasual,4517,59.99
870,RPG 4,USA,Retail,Standard,Nintendo,2010,10,10,NonCasual,4448,59.99
871,RPG 4,USA,Retail,Standard,Nintendo,2010,10,11,NonCasual,4384,59.99
872,RPG 4,USA,Retail,Standard,Nintendo,2010,10,12,NonCasual,4315,59.99
873,RPG 4,USA,Retail,Standard,Nintendo,2010,10,13,NonCasual,4217,59.99
874,RPG 4,USA,Retail,Standard,Nintendo,2010,10,14,NonCasual,4144,59.99
875,RPG 4,USA,Retail,Standard,Nintendo,2010,10,15,NonCasual,4074,59.99
876,RPG 4,USA,Retail,Standard,Nintendo,2010,10,16,NonCasual,4002,59.99
877,RPG 4,USA,Retail,Standard,Nintendo,2010,10,17,NonCasual,3929,59.99
878,RPG 4,USA,Retail,Standard,Nintendo,2010,10,18,NonCasual,3847,59.99
879,RPG 4,USA,Retail,Standard,Nintendo,2010,10,19,NonCasual,3741,59.99
880,RPG 4,USA,Retail,Standard,Nintendo,2010,10,20,NonCasual,3718,59.99
881,RPG 4,USA,Retail,Standard,Nintendo,2010,10,21,NonCasual,3731,59.99
882,RPG 4,USA,Retail,Standard,Nintendo,2010,10,22,NonCasual,3634,59.99
883,RPG 4,USA,Retail,Standard,Nintendo,2010,10,23,NonCasual,3568,59.99
884,RPG 4,USA,Retail,Standard,Nintendo,2010,10,24,NonCasual,3501,59.99
885,RPG 4,USA,Retail,Standard,Nintendo,2010,10,25,NonCasual,3421,59.99
886,RPG 4,USA,Retail,Standard,Nintendo,2010,10,26,NonCasual,3336,59.99
887,RPG 4,USA,Retail,Standard,Nintendo,2010,10,27,NonCasual,3220,59.99
888,RPG 4,USA,Retail,Standard,Nintendo,2010,10,28,NonCasual,3064,59.99
889,RPG 4,USA,Retail,Standard,Nintendo,2010,10,29,NonCasual,2895,59.99
890,RPG 4,USA,Retail,Standard,Nintendo,2010,10,30,NonCasual,2753,59.99
891,RPG 4,USA,Retail,Standard,Nintendo,2010,10,31,NonCasual,2494,59.99
892,RPG 4,USA,Retail,Standard,Nintendo,2010,10,32,NonCasual,2163,59.99
893,RPG 4,USA,Retail,Standard,Nintendo,2010,10,33,NonCasual,1595,59.99
894,RPG 4,USA,Retail,Standard,Nintendo,2010,10,34,NonCasual,1098,59.99
930,RPG 4,USA,Retail,Standard,XBOX,2010,10,0,NonCasual,453308,59.99
931,RPG 4,USA,Retail,Standard,XBOX,2010,10,1,NonCasual,439747,59.99
932,RPG 4,USA,Retail,Standard,XBOX,2010,10,2,NonCasual,411189,59.99
933,RPG 4,USA,Retail,Standard,XBOX,2010,10,3,NonCasual,393498,59.99
934,RPG 4,USA,Retail,Standard,XBOX,2010,10,4,NonCasual,380661,59.99
935,RPG 4,USA,Retail,Standard,XBOX,2010,10,5,NonCasual,369262,59.99
936,RPG 4,USA,Retail,Standard,XBOX,2010,10,6,NonCasual,360269,59.99
937,RPG 4,USA,Retail,Standard,XBOX,2010,10,7,NonCasual,348862,59.99
938,RPG 4,USA,Retail,Standard,XBOX,2010,10,8,NonCasual,343322,59.99
939,RPG 4,USA,Retail,Standard,XBOX,2010,10,9,NonCasual,339105,59.99
940,RPG 4,USA,Retail,Standard,XBOX,2010,10,10,NonCasual,334984,59.99
941,RPG 4,USA,Retail,Standard,XBOX,2010,10,11,NonCasual,331264,59.99
942,RPG 4,USA,Retail,Standard,XBOX,2010,10,12,NonCasual,327627,59.99
943,RPG 4,USA,Retail,Standard,XBOX,2010,10,13,NonCasual,323616,59.99
944,RPG 4,USA,Retail,Standard,XBOX,2010,10,14,NonCasual,320190,59.99
945,RPG 4,USA,Retail,Standard,XBOX,2010,10,15,NonCasual,316969,59.99
