Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel
RPG 3,USA,Retail,Standard,XBOX360,2009,10,30,NonCasual,331664
RPG 3,USA,Retail,Standard,XBOX360,2009,10,31,NonCasual,304365
RPG 3,USA,Retail,Standard,XBOX360,2009,10,32,NonCasual,275498
RPG 3,USA,Retail,Standard,XBOX360,2009,10,33,NonCasual,231246
RPG 3,USA,Retail,Standard,XBOX360,2009,10,34,NonCasual,157202
RPG 3,USA,Retail,Standard,XBOX360,2009,10,35,NonCasual,268
RPG 3,USA,Retail,Standard,XBOX360,2009,10,36,NonCasual,61
RPG 3,USA,Retail,Standard,XBOX360,2009,10,37,NonCasual,50
RPG 3,USA,Retail,Standard,PC,2009,11,0,NonCasual,11007
RPG 3,USA,Retail,Standard,PC,2009,11,1,NonCasual,11007
RPG 3,USA,Retail,Standard,PC,2009,11,2,NonCasual,10545
RPG 3,USA,Retail,Standard,PC,2009,11,3,NonCasual,9887
RPG 3,USA,Retail,Standard,PC,2009,11,4,NonCasual,9439
RPG 3,USA,Retail,Standard,PC,2009,11,5,NonCasual,8646
RPG 3,USA,Retail,Standard,PC,2009,11,6,NonCasual,8124
RPG 3,USA,Retail,Standard,PC,2009,11,7,NonCasual,7637
RPG 3,USA,Retail,Standard,PC,2009,11,8,NonCasual,7275
RPG 3,USA,Retail,Standard,PC,2009,11,9,NonCasual,6955
RPG 3,USA,Retail,Standard,PC,2009,11,10,NonCasual,6790
RPG 3,USA,Retail,Standard,PC,2009,11,11,NonCasual,6617
RPG 3,USA,Retail,Standard,PC,2009,11,12,NonCasual,6400
RPG 3,USA,Retail,Standard,PC,2009,11,13,NonCasual,6211
RPG 3,USA,Retail,Standard,PC,2009,11,14,NonCasual,6096
RPG 3,USA,Retail,Standard,PC,2009,11,15,NonCasual,5986
RPG 3,USA,Retail,Standard,PC,2009,11,16,NonCasual,5854
RPG 3,USA,Retail,Standard,PC,2009,11,17,NonCasual,5733
RPG 3,USA,Retail,Standard,PC,2009,11,18,NonCasual,5587
RPG 3,USA,Retail,Standard,PC,2009,11,19,NonCasual,5436
RPG 3,USA,Retail,Standard,PC,2009,11,20,NonCasual,5313
RPG 3,USA,Retail,Standard,PC,2009,11,21,NonCasual,5221
RPG 3,USA,Retail,Standard,PC,2009,11,22,NonCasual,5108
RPG 3,USA,Retail,Standard,PC,2009,11,23,NonCasual,4929
RPG 3,USA,Retail,Standard,PC,2009,11,24,NonCasual,4723
RPG 3,USA,Retail,Standard,PC,2009,11,25,NonCasual,4488
RPG 3,USA,Retail,Standard,PC,2009,11,26,NonCasual,4362
RPG 3,USA,Retail,Standard,PC,2009,11,27,NonCasual,4261
RPG 3,USA,Retail,Standard,PC,2009,11,28,NonCasual,4071
RPG 3,USA,Retail,Standard,PC,2009,11,29,NonCasual,4014
RPG 3,USA,Retail,Standard,PC,2009,11,30,NonCasual,3890
RPG 3,USA,Retail,Standard,PC,2009,11,31,NonCasual,3755
RPG 3,USA,Retail,Standard,PC,2009,11,32,NonCasual,3598
